"caseid"	"degree"	"satfin"
190	"Graduate"	"Satisfied"
191	"High School"	"More Or Less"
192	"Graduate"	"More Or Less"
193	"Bachelor"	"Satisfied"
194	"High School"	"Satisfied"
195	"Lt High School"	"More Or Less"
196	"High School"	"More Or Less"
197	"Lt High School"	"Satisfied"
198	"High School"	"Satisfied"
199	"High School"	"More Or Less"
200	"High School"	"Not At All Sat"
201	"High School"	"Not At All Sat"
202	"Junior College"	"Not At All Sat"
203	"High School"	"Satisfied"
204	"Lt High School"	"Satisfied"
205	"Lt High School"	"Satisfied"
206	"Lt High School"	"Not At All Sat"
207	"Lt High School"	"Not At All Sat"
208	"Lt High School"	"More Or Less"
209	"High School"	"Satisfied"
210	"Lt High School"	"Not At All Sat"
211	"High School"	"More Or Less"
212	"Lt High School"	"Not At All Sat"
214	"Lt High School"	"Not At All Sat"
215	"Lt High School"	"Not At All Sat"
216	"High School"	"Not At All Sat"
217	"High School"	"Not At All Sat"
218	"Lt High School"	"Not At All Sat"
219	"Lt High School"	"More Or Less"
220	"Lt High School"	"More Or Less"
221	"Lt High School"	"More Or Less"
222	"High School"	"Satisfied"
223	"Graduate"	"More Or Less"
224	"High School"	"Not At All Sat"
225	"High School"	"More Or Less"
226	"High School"	"More Or Less"
227	"High School"	"Satisfied"
228	"Lt High School"	"Satisfied"
229	"High School"	"Not At All Sat"
230	"Lt High School"	"Not At All Sat"
231	"Bachelor"	"Not At All Sat"
232	"High School"	"Not At All Sat"
233	"High School"	"Not At All Sat"
234	"High School"	"Satisfied"
235	"High School"	"Satisfied"
236	"High School"	"Satisfied"
237	"Lt High School"	"Satisfied"
238	"High School"	"More Or Less"
239	"Lt High School"	"More Or Less"
240	"Lt High School"	"More Or Less"
241	"Lt High School"	"Not At All Sat"
243	"Lt High School"	"Satisfied"
244	"Lt High School"	"More Or Less"
245	"Graduate"	"Satisfied"
246	"Lt High School"	"More Or Less"
247	"Lt High School"	"More Or Less"
248	"High School"	"Satisfied"
249	"High School"	"Satisfied"
250	"High School"	"Satisfied"
251	"High School"	"Satisfied"
252	"Lt High School"	"More Or Less"
253	"High School"	"More Or Less"
254	"High School"	"Not At All Sat"
255	"Lt High School"	"More Or Less"
256	"High School"	"Satisfied"
257	"High School"	"More Or Less"
258	"Bachelor"	"More Or Less"
259	"High School"	"Satisfied"
260	"Lt High School"	"More Or Less"
261	"Lt High School"	"Not At All Sat"
262	"High School"	"Satisfied"
263	"Lt High School"	"Not At All Sat"
264	"Lt High School"	"Not At All Sat"
265	"High School"	"Not At All Sat"
266	"High School"	"Satisfied"
267	"High School"	"Satisfied"
268	"High School"	"Satisfied"
269	"Lt High School"	"Not At All Sat"
270	"Lt High School"	"More Or Less"
272	"Lt High School"	"More Or Less"
273	"High School"	"More Or Less"
274	"High School"	"More Or Less"
275	"Bachelor"	"More Or Less"
276	"High School"	"Satisfied"
277	"High School"	"More Or Less"
278	"High School"	"More Or Less"
279	"Lt High School"	"More Or Less"
280	"High School"	"Not At All Sat"
281	"Lt High School"	"Not At All Sat"
282	"Lt High School"	"Not At All Sat"
283	"High School"	"More Or Less"
284	"High School"	"Satisfied"
285	"High School"	"More Or Less"
286	"Lt High School"	"Satisfied"
287	"Lt High School"	"Satisfied"
288	"High School"	"More Or Less"
289	"Lt High School"	"Not At All Sat"
290	"Graduate"	"Satisfied"
291	"Lt High School"	"Not At All Sat"
292	"High School"	"Not At All Sat"
293	"Lt High School"	"Satisfied"
294	"High School"	"Satisfied"
295	"High School"	"More Or Less"
296	"High School"	"Not At All Sat"
298	"Lt High School"	"More Or Less"
299	"High School"	"More Or Less"
301	"High School"	"Not At All Sat"
302	"Lt High School"	"Not At All Sat"
303	"High School"	"More Or Less"
304	"High School"	"More Or Less"
305	"Lt High School"	"More Or Less"
306	"High School"	"More Or Less"
307	"Lt High School"	"Satisfied"
308	"Lt High School"	"Not At All Sat"
309	"High School"	"Satisfied"
310	"Lt High School"	"Not At All Sat"
311	"High School"	"Satisfied"
312	"High School"	"More Or Less"
313	"High School"	"Satisfied"
315	"Lt High School"	"Satisfied"
317	"Lt High School"	"More Or Less"
318	"Bachelor"	"Satisfied"
319	"Lt High School"	"Not At All Sat"
320	"High School"	"More Or Less"
321	"Lt High School"	"More Or Less"
322	"Graduate"	"More Or Less"
323	"High School"	"Satisfied"
324	"Lt High School"	"More Or Less"
325	"High School"	"More Or Less"
326	"High School"	"Satisfied"
327	"Graduate"	"Satisfied"
328	"Bachelor"	"Satisfied"
329	"High School"	"Satisfied"
330	"High School"	"Not At All Sat"
331	"High School"	"Not At All Sat"
332	"High School"	"Satisfied"
333	"Lt High School"	"Satisfied"
334	"Bachelor"	"Satisfied"
335	"Bachelor"	"More Or Less"
336	"Lt High School"	"Satisfied"
337	"Lt High School"	"Satisfied"
338	"Lt High School"	"More Or Less"
339	"Lt High School"	"Satisfied"
340	"Lt High School"	"More Or Less"
341	"Lt High School"	"More Or Less"
342	"Lt High School"	"More Or Less"
343	"Lt High School"	"More Or Less"
344	"Lt High School"	"More Or Less"
345	"Lt High School"	"Not At All Sat"
346	"Lt High School"	"Satisfied"
347	"Lt High School"	"Satisfied"
348	"Lt High School"	"More Or Less"
349	"Lt High School"	"More Or Less"
350	"High School"	"More Or Less"
351	"Bachelor"	"More Or Less"
352	"High School"	"More Or Less"
353	"High School"	"More Or Less"
354	"High School"	"Not At All Sat"
355	"Lt High School"	"More Or Less"
356	"Lt High School"	"More Or Less"
357	"Lt High School"	"More Or Less"
358	"Lt High School"	"Satisfied"
359	"Lt High School"	"Satisfied"
360	"Lt High School"	"More Or Less"
361	"Lt High School"	"Satisfied"
362	"Lt High School"	"Not At All Sat"
363	"High School"	"Not At All Sat"
364	"High School"	"More Or Less"
