"caseid"	"degree"	"satfin"
3978	"Graduate"	"More Or Less"
3979	"Graduate"	"Satisfied"
3980	"High School"	"Satisfied"
3981	"High School"	"More Or Less"
3982	"Bachelor"	"Not At All Sat"
3983	"Graduate"	"More Or Less"
3984	"High School"	"More Or Less"
3985	"High School"	"Satisfied"
3986	"Graduate"	"Not At All Sat"
3987	"High School"	"Satisfied"
3988	"Graduate"	"More Or Less"
3989	"Bachelor"	"More Or Less"
3990	"High School"	"More Or Less"
3991	"High School"	"More Or Less"
3992	"Lt High School"	"Satisfied"
3993	"Lt High School"	"Not At All Sat"
3994	"Bachelor"	"More Or Less"
3995	"Lt High School"	"More Or Less"
3996	"High School"	"More Or Less"
3997	"Bachelor"	"More Or Less"
3998	"Lt High School"	"More Or Less"
3999	"Bachelor"	"More Or Less"
4000	"Graduate"	"Not At All Sat"
4001	"Bachelor"	"More Or Less"
4002	"Lt High School"	"More Or Less"
4003	"High School"	"More Or Less"
4004	"High School"	"More Or Less"
4005	"High School"	"More Or Less"
4006	"High School"	"Not At All Sat"
4007	"High School"	"More Or Less"
4008	"High School"	"More Or Less"
4009	"High School"	"Satisfied"
4010	"Lt High School"	"Satisfied"
4011	"High School"	"More Or Less"
4012	"High School"	"More Or Less"
4013	"Lt High School"	"Satisfied"
4014	"High School"	"Satisfied"
4015	"Bachelor"	"More Or Less"
4016	"High School"	"More Or Less"
4017	"Bachelor"	"Satisfied"
4018	"Bachelor"	"Satisfied"
4019	"Bachelor"	"Satisfied"
4020	"High School"	"Satisfied"
4021	"Bachelor"	"Satisfied"
4022	"Lt High School"	"More Or Less"
4023	"Lt High School"	"More Or Less"
4024	"Lt High School"	"More Or Less"
4025	"High School"	"Not At All Sat"
4026	"High School"	"More Or Less"
4027	"Lt High School"	"Satisfied"
4028	"Lt High School"	"More Or Less"
4029	"High School"	"More Or Less"
4030	"High School"	"More Or Less"
4031	"Lt High School"	"More Or Less"
4032	"High School"	"More Or Less"
4033	"Bachelor"	"More Or Less"
4034	"Bachelor"	"More Or Less"
4035	"Junior College"	"More Or Less"
4036	"Junior College"	"Satisfied"
4037	"Bachelor"	"Satisfied"
4038	"Graduate"	"Satisfied"
4039	"Bachelor"	"More Or Less"
4040	"Lt High School"	"More Or Less"
4041	"Bachelor"	"More Or Less"
4042	"Lt High School"	"Satisfied"
4043	"Lt High School"	"Satisfied"
4044	"High School"	"Satisfied"
4045	"Lt High School"	"Satisfied"
4046	"Lt High School"	"Satisfied"
4047	"High School"	"Satisfied"
4049	"Lt High School"	"Not At All Sat"
4050	"Lt High School"	"Not At All Sat"
4051	"High School"	"Not At All Sat"
4052	"Lt High School"	"More Or Less"
4053	"Graduate"	"More Or Less"
4054	"Lt High School"	"Not At All Sat"
4055	"High School"	"Satisfied"
4056	"Lt High School"	"Not At All Sat"
4057	"High School"	"More Or Less"
4059	"Graduate"	"Satisfied"
4060	"Lt High School"	"Satisfied"
4061	"Lt High School"	"More Or Less"
4062	"High School"	"Satisfied"
4063	"Lt High School"	"Satisfied"
4064	"Lt High School"	"Satisfied"
4065	"Lt High School"	"Satisfied"
4066	"Lt High School"	"Satisfied"
4067	"High School"	"Satisfied"
4069	"Lt High School"	"Satisfied"
4070	"Lt High School"	"More Or Less"
4071	"High School"	"Satisfied"
4072	"High School"	"More Or Less"
4073	"Lt High School"	"Satisfied"
4074	"Lt High School"	"Not At All Sat"
4075	"High School"	"Not At All Sat"
4076	"High School"	"Not At All Sat"
4077	"High School"	"More Or Less"
4079	"Lt High School"	"More Or Less"
4081	"Lt High School"	"Satisfied"
4082	"High School"	"More Or Less"
4083	"High School"	"Satisfied"
4084	"High School"	"Satisfied"
4085	"High School"	"Satisfied"
4086	"Lt High School"	"Satisfied"
4087	"High School"	"More Or Less"
4088	"High School"	"More Or Less"
4089	"High School"	"More Or Less"
4090	"High School"	"Satisfied"
4091	"Bachelor"	"More Or Less"
4092	"High School"	"More Or Less"
4093	"Graduate"	"More Or Less"
4094	"High School"	"Satisfied"
4095	"Lt High School"	"Satisfied"
4096	"High School"	"Satisfied"
4097	"High School"	"More Or Less"
4098	"Lt High School"	"Not At All Sat"
4099	"Lt High School"	"Satisfied"
4100	"High School"	"More Or Less"
4101	"Lt High School"	"Satisfied"
4102	"High School"	"Satisfied"
4103	"Lt High School"	"More Or Less"
4104	"Lt High School"	"Satisfied"
4105	"High School"	"Satisfied"
4106	"High School"	"More Or Less"
4107	"High School"	"Satisfied"
4108	"Graduate"	"Satisfied"
4109	"High School"	"Satisfied"
4110	"Bachelor"	"More Or Less"
4111	"High School"	"More Or Less"
4112	"High School"	"Not At All Sat"
4113	"High School"	"More Or Less"
4114	"High School"	"Satisfied"
4115	"Lt High School"	"Satisfied"
4116	"Bachelor"	"Satisfied"
4117	"High School"	"Satisfied"
4118	"Lt High School"	"More Or Less"
4119	"High School"	"Not At All Sat"
4120	"High School"	"Not At All Sat"
4121	"Lt High School"	"More Or Less"
4122	"High School"	"Not At All Sat"
4123	"High School"	"More Or Less"
4125	"High School"	"Not At All Sat"
4126	"Lt High School"	"Not At All Sat"
4127	"Bachelor"	"Satisfied"
4128	"Lt High School"	"More Or Less"
4129	"Lt High School"	"More Or Less"
4130	"High School"	"Satisfied"
4131	"Lt High School"	"More Or Less"
4132	"High School"	"More Or Less"
4134	"Lt High School"	"More Or Less"
4135	"Lt High School"	"Satisfied"
4136	"Lt High School"	"More Or Less"
4137	"High School"	"More Or Less"
4138	"Graduate"	"Satisfied"
4139	"High School"	"More Or Less"
4140	"High School"	"Satisfied"
4141	"Bachelor"	"More Or Less"
4142	"High School"	"Satisfied"
4143	"Lt High School"	"Satisfied"
4144	"Lt High School"	"Satisfied"
4145	"Lt High School"	"More Or Less"
4146	"Lt High School"	"More Or Less"
4147	"High School"	"More Or Less"
4148	"High School"	"More Or Less"
4149	"High School"	"More Or Less"
4151	"High School"	"Satisfied"
4152	"Lt High School"	"More Or Less"
4153	"High School"	"More Or Less"
4154	"High School"	"More Or Less"
4155	"High School"	"More Or Less"
4156	"High School"	"Satisfied"
4157	"High School"	"Not At All Sat"
4158	"Graduate"	"More Or Less"
4159	"High School"	"More Or Less"
4160	"Bachelor"	"Not At All Sat"
4161	"Graduate"	"More Or Less"
4162	"Bachelor"	"More Or Less"
4163	"High School"	"Satisfied"
4164	"High School"	"More Or Less"
4165	"Lt High School"	"More Or Less"
4166	"Bachelor"	"Satisfied"
4167	"Lt High School"	"More Or Less"
4168	"Lt High School"	"Not At All Sat"
4169	"High School"	"Not At All Sat"
4170	"Lt High School"	"More Or Less"
4171	"Bachelor"	"Not At All Sat"
4172	"Lt High School"	"More Or Less"
4173	"Lt High School"	"Satisfied"
4174	"Lt High School"	"More Or Less"
4175	"Lt High School"	"Not At All Sat"
4176	"High School"	"More Or Less"
4177	"Lt High School"	"More Or Less"
4178	"High School"	"More Or Less"
4179	"Lt High School"	"More Or Less"
4180	"High School"	"Not At All Sat"
4181	"High School"	"Not At All Sat"
4182	"Lt High School"	"Not At All Sat"
4183	"Lt High School"	"Satisfied"
4184	"High School"	"More Or Less"
4185	"Lt High School"	"More Or Less"
4186	"Lt High School"	"More Or Less"
4187	"Bachelor"	"Not At All Sat"
4188	"High School"	"Not At All Sat"
4189	"High School"	"Not At All Sat"
4190	"High School"	"Satisfied"
4191	"High School"	"More Or Less"
4192	"High School"	"More Or Less"
4193	"Lt High School"	"Satisfied"
4194	"High School"	"Satisfied"
4195	"High School"	"More Or Less"
4196	"High School"	"Not At All Sat"
4197	"High School"	"More Or Less"
4198	"High School"	"More Or Less"
4199	"Lt High School"	"More Or Less"
4200	"High School"	"Satisfied"
4201	"High School"	"Not At All Sat"
4202	"High School"	"More Or Less"
4203	"Junior College"	"Not At All Sat"
4204	"Bachelor"	"More Or Less"
4205	"High School"	"More Or Less"
4206	"Lt High School"	"Satisfied"
4209	"High School"	"More Or Less"
4211	"Lt High School"	"More Or Less"
4212	"High School"	"Not At All Sat"
4213	"High School"	"More Or Less"
4215	"Lt High School"	"Satisfied"
4216	"High School"	"Satisfied"
4217	"High School"	"Not At All Sat"
4218	"Graduate"	"More Or Less"
4219	"Bachelor"	"Not At All Sat"
4220	"High School"	"More Or Less"
4221	"Bachelor"	"Satisfied"
4222	"High School"	"Not At All Sat"
4223	"Lt High School"	"More Or Less"
4224	"Lt High School"	"More Or Less"
4225	"High School"	"Not At All Sat"
4227	"Lt High School"	"More Or Less"
4228	"Bachelor"	"Satisfied"
4229	"High School"	"More Or Less"
4230	"Junior College"	"Satisfied"
4231	"High School"	"Not At All Sat"
4232	"Bachelor"	"Satisfied"
4233	"Lt High School"	"Satisfied"
4234	"Lt High School"	"More Or Less"
4235	"Lt High School"	"Not At All Sat"
4236	"High School"	"More Or Less"
4237	"High School"	"More Or Less"
4238	"High School"	"Satisfied"
4239	"Lt High School"	"More Or Less"
4240	"Graduate"	"Satisfied"
4241	"High School"	"More Or Less"
4242	"Graduate"	"Satisfied"
4243	"High School"	"More Or Less"
4244	"High School"	"Not At All Sat"
4245	"Lt High School"	"More Or Less"
4246	"High School"	"More Or Less"
4247	"Bachelor"	"Satisfied"
4248	"Graduate"	"Satisfied"
4249	"Graduate"	"More Or Less"
4250	"High School"	"More Or Less"
4251	"Bachelor"	"Satisfied"
4252	"Lt High School"	"Not At All Sat"
4253	"Lt High School"	"More Or Less"
4254	"Lt High School"	"Not At All Sat"
4255	"Bachelor"	"Not At All Sat"
4256	"High School"	"Not At All Sat"
4257	"Bachelor"	"Not At All Sat"
4258	"High School"	"More Or Less"
4259	"Lt High School"	"Not At All Sat"
4260	"High School"	"Satisfied"
4261	"Bachelor"	"Not At All Sat"
4262	"Lt High School"	"Not At All Sat"
4263	"High School"	"More Or Less"
4264	"Lt High School"	"Not At All Sat"
4265	"Lt High School"	"More Or Less"
4266	"High School"	"More Or Less"
4267	"Lt High School"	"More Or Less"
4268	"Lt High School"	"More Or Less"
4269	"High School"	"More Or Less"
4270	"Lt High School"	"Not At All Sat"
4271	"High School"	"Satisfied"
4272	"High School"	"More Or Less"
4273	"High School"	"Satisfied"
4274	"High School"	"Not At All Sat"
4275	"Graduate"	"More Or Less"
4276	"High School"	"More Or Less"
4277	"High School"	"Satisfied"
4278	"Bachelor"	"Satisfied"
4279	"High School"	"Satisfied"
4280	"High School"	"Satisfied"
4281	"High School"	"More Or Less"
4282	"High School"	"More Or Less"
4283	"High School"	"More Or Less"
4284	"Lt High School"	"More Or Less"
4285	"Graduate"	"More Or Less"
4286	"Lt High School"	"Not At All Sat"
4287	"High School"	"Satisfied"
4288	"High School"	"Not At All Sat"
4289	"Lt High School"	"More Or Less"
4290	"High School"	"Not At All Sat"
4291	"Bachelor"	"More Or Less"
4292	"Lt High School"	"More Or Less"
4293	"Graduate"	"Satisfied"
4294	"Lt High School"	"Not At All Sat"
4295	"High School"	"Not At All Sat"
4296	"Bachelor"	"More Or Less"
4297	"Lt High School"	"More Or Less"
4298	"Lt High School"	"Satisfied"
4299	"Bachelor"	"More Or Less"
4300	"High School"	"Satisfied"
4301	"High School"	"Not At All Sat"
4302	"Bachelor"	"Not At All Sat"
4303	"Lt High School"	"Satisfied"
4304	"Graduate"	"Satisfied"
4305	"Bachelor"	"Satisfied"
4307	"Lt High School"	"Not At All Sat"
4308	"Lt High School"	"More Or Less"
4310	"High School"	"Satisfied"
4311	"High School"	"Not At All Sat"
4312	"High School"	"Satisfied"
4313	"Lt High School"	"Not At All Sat"
4314	"Lt High School"	"More Or Less"
4316	"High School"	"More Or Less"
4317	"Bachelor"	"Satisfied"
4318	"High School"	"More Or Less"
4319	"Bachelor"	"Satisfied"
4320	"High School"	"More Or Less"
4321	"Graduate"	"More Or Less"
4322	"Graduate"	"More Or Less"
4323	"High School"	"More Or Less"
4324	"High School"	"More Or Less"
4325	"Bachelor"	"Not At All Sat"
4326	"High School"	"Satisfied"
4327	"Lt High School"	"More Or Less"
4328	"Bachelor"	"More Or Less"
4329	"Lt High School"	"Satisfied"
4330	"Lt High School"	"Satisfied"
4331	"Lt High School"	"More Or Less"
4332	"Lt High School"	"Satisfied"
4333	"Lt High School"	"Satisfied"
4334	"Lt High School"	"More Or Less"
4335	"High School"	"Not At All Sat"
4336	"Lt High School"	"Satisfied"
4337	"Junior College"	"More Or Less"
4338	"Lt High School"	"Satisfied"
4339	"High School"	"More Or Less"
4341	"High School"	"Not At All Sat"
4342	"Lt High School"	"More Or Less"
4343	"High School"	"Not At All Sat"
4344	"Lt High School"	"Not At All Sat"
4345	"Lt High School"	"Not At All Sat"
4346	"High School"	"Not At All Sat"
4347	"Bachelor"	"More Or Less"
4348	"High School"	"More Or Less"
4349	"High School"	"More Or Less"
4350	"High School"	"Not At All Sat"
4351	"High School"	"More Or Less"
4352	"Lt High School"	"Satisfied"
4353	"High School"	"More Or Less"
4354	"Graduate"	"Satisfied"
4355	"Bachelor"	"More Or Less"
4356	"Bachelor"	"Satisfied"
4357	"Lt High School"	"More Or Less"
4358	"Bachelor"	"Not At All Sat"
4359	"High School"	"More Or Less"
4360	"High School"	"Not At All Sat"
4361	"High School"	"More Or Less"
4362	"Lt High School"	"More Or Less"
4363	"High School"	"Not At All Sat"
4364	"High School"	"Not At All Sat"
4365	"Bachelor"	"Satisfied"
4366	"Bachelor"	"More Or Less"
4367	"High School"	"More Or Less"
4368	"High School"	"Satisfied"
4369	"Graduate"	"More Or Less"
4370	"High School"	"More Or Less"
4371	"High School"	"More Or Less"
4372	"High School"	"More Or Less"
4373	"High School"	"More Or Less"
4374	"High School"	"More Or Less"
4375	"High School"	"More Or Less"
4376	"High School"	"More Or Less"
4377	"High School"	"Not At All Sat"
4378	"Graduate"	"Satisfied"
4379	"High School"	"Satisfied"
4380	"Lt High School"	"More Or Less"
4381	"High School"	"More Or Less"
4382	"High School"	"More Or Less"
4383	"High School"	"Not At All Sat"
4384	"High School"	"Not At All Sat"
4385	"Lt High School"	"Satisfied"
4386	"High School"	"Satisfied"
4387	"High School"	"Not At All Sat"
4388	"Lt High School"	"More Or Less"
4389	"High School"	"More Or Less"
4390	"Lt High School"	"Satisfied"
4391	"High School"	"More Or Less"
4392	"High School"	"More Or Less"
4394	"High School"	"More Or Less"
4395	"High School"	"Not At All Sat"
4396	"High School"	"More Or Less"
4397	"Junior College"	"More Or Less"
4398	"Lt High School"	"More Or Less"
4399	"Lt High School"	"Not At All Sat"
4400	"High School"	"More Or Less"
4401	"Lt High School"	"More Or Less"
4402	"Lt High School"	"Not At All Sat"
4403	"High School"	"Satisfied"
4404	"Lt High School"	"More Or Less"
4405	"High School"	"More Or Less"
4406	"Bachelor"	"Satisfied"
4407	"High School"	"Satisfied"
4408	"Junior College"	"Not At All Sat"
4409	"Lt High School"	"Not At All Sat"
4410	"High School"	"More Or Less"
4411	"High School"	"More Or Less"
4412	"Lt High School"	"Not At All Sat"
4413	"Lt High School"	"Not At All Sat"
4414	"Lt High School"	"Not At All Sat"
4415	"Lt High School"	"Not At All Sat"
4416	"High School"	"Not At All Sat"
4417	"Bachelor"	"More Or Less"
4418	"Lt High School"	"More Or Less"
4420	"High School"	"More Or Less"
4421	"Lt High School"	"Not At All Sat"
4422	"Bachelor"	"Satisfied"
4423	"High School"	"More Or Less"
4424	"Graduate"	"Satisfied"
4425	"Lt High School"	"More Or Less"
4426	"High School"	"More Or Less"
4427	"Lt High School"	"Not At All Sat"
4428	"Lt High School"	"Not At All Sat"
4429	"High School"	"Satisfied"
4430	"Lt High School"	"Satisfied"
4432	"Lt High School"	"Not At All Sat"
4433	"Lt High School"	"More Or Less"
4434	"Lt High School"	"More Or Less"
4435	"Lt High School"	"Not At All Sat"
4436	"High School"	"Not At All Sat"
4437	"High School"	"More Or Less"
4439	"Lt High School"	"Satisfied"
4441	"Lt High School"	"Not At All Sat"
4442	"Lt High School"	"More Or Less"
4444	"Lt High School"	"Satisfied"
4445	"Lt High School"	"Satisfied"
4447	"High School"	"More Or Less"
4449	"Lt High School"	"More Or Less"
4450	"Lt High School"	"Satisfied"
4451	"High School"	"Satisfied"
4452	"High School"	"Not At All Sat"
4453	"High School"	"More Or Less"
4454	"High School"	"Not At All Sat"
4455	"High School"	"More Or Less"
4456	"High School"	"More Or Less"
4457	"High School"	"More Or Less"
4458	"High School"	"Not At All Sat"
4459	"Lt High School"	"More Or Less"
4460	"Lt High School"	"Not At All Sat"
4461	"High School"	"More Or Less"
4462	"Lt High School"	"More Or Less"
4463	"High School"	"Not At All Sat"
4464	"Lt High School"	"Satisfied"
4466	"High School"	"Not At All Sat"
4467	"High School"	"More Or Less"
4468	"Lt High School"	"More Or Less"
4469	"Junior College"	"Satisfied"
4470	"High School"	"Satisfied"
4471	"Lt High School"	"More Or Less"
4472	"High School"	"More Or Less"
4473	"High School"	"More Or Less"
4474	"Lt High School"	"Not At All Sat"
4475	"High School"	"Not At All Sat"
4476	"Lt High School"	"More Or Less"
4477	"High School"	"Satisfied"
4478	"High School"	"More Or Less"
4479	"Lt High School"	"Satisfied"
4480	"High School"	"Satisfied"
4481	"High School"	"More Or Less"
4482	"High School"	"More Or Less"
4483	"High School"	"Satisfied"
4484	"Lt High School"	"Satisfied"
4485	"High School"	"Satisfied"
4486	"High School"	"Satisfied"
4487	"Lt High School"	"Satisfied"
4488	"High School"	"Satisfied"
4489	"High School"	"Satisfied"
4490	"High School"	"Satisfied"
4491	"High School"	"More Or Less"
4492	"High School"	"More Or Less"
4493	"Lt High School"	"More Or Less"
4495	"Lt High School"	"Not At All Sat"
4496	"Lt High School"	"Not At All Sat"
4497	"Lt High School"	"Satisfied"
4498	"Lt High School"	"Satisfied"
4499	"Lt High School"	"Satisfied"
4500	"Lt High School"	"Satisfied"
4501	"High School"	"Not At All Sat"
4502	"High School"	"Satisfied"
4503	"High School"	"Satisfied"
4504	"High School"	"Satisfied"
4505	"High School"	"More Or Less"
4506	"Graduate"	"More Or Less"
4507	"High School"	"More Or Less"
4508	"Lt High School"	"Not At All Sat"
4509	"High School"	"Not At All Sat"
4510	"Lt High School"	"Satisfied"
4512	"High School"	"More Or Less"
4513	"High School"	"More Or Less"
4515	"High School"	"Satisfied"
4516	"Lt High School"	"Satisfied"
4517	"Bachelor"	"Not At All Sat"
4518	"High School"	"More Or Less"
4519	"High School"	"More Or Less"
4520	"High School"	"Not At All Sat"
4521	"Lt High School"	"More Or Less"
4522	"Lt High School"	"Not At All Sat"
4523	"Lt High School"	"Satisfied"
4524	"Lt High School"	"Satisfied"
4525	"Lt High School"	"Satisfied"
4526	"High School"	"Satisfied"
4527	"High School"	"Satisfied"
4529	"Lt High School"	"Satisfied"
4530	"Graduate"	"Satisfied"
4531	"High School"	"More Or Less"
4532	"High School"	"More Or Less"
4533	"Lt High School"	"Satisfied"
4534	"Bachelor"	"Satisfied"
4535	"High School"	"Satisfied"
4536	"High School"	"Not At All Sat"
4537	"High School"	"Not At All Sat"
4538	"Lt High School"	"Satisfied"
4539	"Lt High School"	"Satisfied"
4540	"High School"	"Satisfied"
4541	"High School"	"More Or Less"
4542	"Bachelor"	"More Or Less"
4544	"High School"	"More Or Less"
4545	"High School"	"More Or Less"
4546	"High School"	"More Or Less"
4547	"Lt High School"	"Satisfied"
4548	"Lt High School"	"More Or Less"
4549	"High School"	"Satisfied"
4550	"Lt High School"	"More Or Less"
4551	"Bachelor"	"Satisfied"
4552	"High School"	"More Or Less"
4553	"Lt High School"	"Satisfied"
4554	"High School"	"More Or Less"
4555	"High School"	"More Or Less"
4556	"High School"	"More Or Less"
4557	"High School"	"Satisfied"
4558	"High School"	"More Or Less"
4559	"High School"	"Not At All Sat"
4560	"Lt High School"	"More Or Less"
4561	"High School"	"Not At All Sat"
4562	"High School"	"Not At All Sat"
4563	"High School"	"More Or Less"
4564	"Lt High School"	"More Or Less"
4565	"Lt High School"	"More Or Less"
4566	"High School"	"Not At All Sat"
4567	"Lt High School"	"Satisfied"
4568	"Lt High School"	"More Or Less"
4570	"High School"	"Satisfied"
4571	"Lt High School"	"More Or Less"
4572	"Graduate"	"Satisfied"
4573	"Lt High School"	"Satisfied"
4574	"High School"	"More Or Less"
4575	"High School"	"More Or Less"
4576	"High School"	"Not At All Sat"
4577	"High School"	"More Or Less"
4578	"High School"	"More Or Less"
4579	"High School"	"More Or Less"
4580	"Bachelor"	"Satisfied"
4581	"High School"	"More Or Less"
4583	"Lt High School"	"More Or Less"
4584	"High School"	"Satisfied"
4585	"High School"	"More Or Less"
4586	"High School"	"Satisfied"
4587	"High School"	"Satisfied"
4588	"Lt High School"	"Satisfied"
4589	"High School"	"More Or Less"
4590	"High School"	"More Or Less"
4591	"High School"	"More Or Less"
4592	"High School"	"More Or Less"
4593	"High School"	"Satisfied"
4594	"High School"	"Satisfied"
4595	"Lt High School"	"Not At All Sat"
4596	"High School"	"Satisfied"
4597	"Lt High School"	"More Or Less"
4598	"Lt High School"	"More Or Less"
4599	"High School"	"More Or Less"
4600	"High School"	"More Or Less"
4601	"High School"	"More Or Less"
4602	"High School"	"More Or Less"
4603	"High School"	"More Or Less"
4605	"High School"	"More Or Less"
4606	"Graduate"	"Satisfied"
4607	"Graduate"	"Satisfied"
4608	"Lt High School"	"More Or Less"
4609	"Lt High School"	"Satisfied"
4610	"Lt High School"	"More Or Less"
4611	"Graduate"	"Not At All Sat"
4612	"Bachelor"	"More Or Less"
4613	"Lt High School"	"More Or Less"
4614	"Lt High School"	"Not At All Sat"
4615	"Bachelor"	"Satisfied"
4616	"Bachelor"	"More Or Less"
4617	"Lt High School"	"Satisfied"
4618	"High School"	"More Or Less"
4619	"Lt High School"	"More Or Less"
4620	"High School"	"More Or Less"
4621	"High School"	"Not At All Sat"
4622	"High School"	"Satisfied"
4623	"High School"	"Not At All Sat"
4624	"High School"	"More Or Less"
4625	"High School"	"Not At All Sat"
4626	"Lt High School"	"More Or Less"
4627	"Lt High School"	"Not At All Sat"
4628	"Lt High School"	"More Or Less"
4629	"Graduate"	"More Or Less"
4630	"High School"	"More Or Less"
4631	"Graduate"	"More Or Less"
4632	"High School"	"Not At All Sat"
4633	"Graduate"	"More Or Less"
4634	"High School"	"More Or Less"
4635	"Lt High School"	"Not At All Sat"
4636	"Lt High School"	"Not At All Sat"
4637	"Lt High School"	"Not At All Sat"
4638	"High School"	"More Or Less"
4639	"High School"	"Satisfied"
4640	"High School"	"More Or Less"
4641	"High School"	"More Or Less"
4642	"Lt High School"	"More Or Less"
4643	"Lt High School"	"Not At All Sat"
4644	"High School"	"More Or Less"
4645	"High School"	"Satisfied"
4646	"High School"	"Not At All Sat"
4647	"High School"	"Not At All Sat"
4648	"Lt High School"	"Satisfied"
4649	"Lt High School"	"More Or Less"
4650	"Lt High School"	"Not At All Sat"
4651	"Lt High School"	"More Or Less"
4652	"Lt High School"	"Not At All Sat"
4653	"High School"	"Not At All Sat"
4654	"Lt High School"	"Satisfied"
4655	"Lt High School"	"Not At All Sat"
4656	"Bachelor"	"Satisfied"
4657	"High School"	"Satisfied"
4658	"Junior College"	"Satisfied"
4659	"High School"	"More Or Less"
4660	"Bachelor"	"Satisfied"
4661	"High School"	"More Or Less"
4662	"Graduate"	"More Or Less"
4663	"High School"	"More Or Less"
4666	"Lt High School"	"More Or Less"
4667	"Lt High School"	"More Or Less"
4668	"High School"	"Not At All Sat"
4669	"High School"	"More Or Less"
4670	"High School"	"Not At All Sat"
4671	"High School"	"Not At All Sat"
4672	"High School"	"More Or Less"
4673	"Bachelor"	"More Or Less"
4674	"Bachelor"	"More Or Less"
4675	"Bachelor"	"Not At All Sat"
4676	"High School"	"Satisfied"
4677	"Lt High School"	"More Or Less"
4678	"Bachelor"	"More Or Less"
4680	"High School"	"More Or Less"
4681	"High School"	"More Or Less"
4682	"Lt High School"	"More Or Less"
4683	"Bachelor"	"Not At All Sat"
4684	"Lt High School"	"Not At All Sat"
4685	"Lt High School"	"More Or Less"
4686	"High School"	"More Or Less"
4687	"High School"	"Not At All Sat"
4688	"Lt High School"	"Satisfied"
4689	"High School"	"Satisfied"
4690	"High School"	"More Or Less"
4691	"High School"	"Not At All Sat"
4692	"High School"	"Satisfied"
4693	"High School"	"Not At All Sat"
4694	"Lt High School"	"More Or Less"
4695	"High School"	"More Or Less"
4696	"Junior College"	"Not At All Sat"
4697	"Lt High School"	"Satisfied"
4698	"Lt High School"	"Satisfied"
4699	"Lt High School"	"Not At All Sat"
4700	"High School"	"More Or Less"
4701	"High School"	"Satisfied"
4702	"High School"	"Not At All Sat"
4703	"High School"	"More Or Less"
4704	"Lt High School"	"Satisfied"
4705	"Lt High School"	"More Or Less"
4706	"Lt High School"	"More Or Less"
4707	"Graduate"	"Satisfied"
4708	"Lt High School"	"Satisfied"
4709	"High School"	"Not At All Sat"
4710	"Lt High School"	"More Or Less"
4711	"High School"	"More Or Less"
4712	"High School"	"Not At All Sat"
4713	"High School"	"More Or Less"
4714	"High School"	"More Or Less"
4715	"High School"	"More Or Less"
4716	"High School"	"Satisfied"
4717	"High School"	"More Or Less"
4718	"High School"	"More Or Less"
4719	"High School"	"Satisfied"
4720	"High School"	"More Or Less"
4723	"Lt High School"	"Satisfied"
4724	"Lt High School"	"Satisfied"
4725	"Lt High School"	"More Or Less"
4726	"High School"	"More Or Less"
4727	"Graduate"	"More Or Less"
4728	"Lt High School"	"More Or Less"
4729	"High School"	"Not At All Sat"
4730	"Lt High School"	"Not At All Sat"
4731	"High School"	"More Or Less"
4732	"High School"	"More Or Less"
4733	"Bachelor"	"More Or Less"
4734	"High School"	"More Or Less"
4735	"High School"	"More Or Less"
4736	"Graduate"	"More Or Less"
4737	"Graduate"	"More Or Less"
4738	"High School"	"Satisfied"
4739	"Lt High School"	"Satisfied"
4740	"High School"	"More Or Less"
4741	"Bachelor"	"More Or Less"
4742	"High School"	"Not At All Sat"
4743	"Graduate"	"Satisfied"
4744	"High School"	"More Or Less"
4745	"High School"	"Satisfied"
4746	"High School"	"Satisfied"
4747	"High School"	"Satisfied"
4748	"High School"	"Satisfied"
4749	"High School"	"More Or Less"
4750	"Lt High School"	"Satisfied"
4751	"High School"	"Satisfied"
4752	"High School"	"Satisfied"
4753	"High School"	"Not At All Sat"
4754	"High School"	"More Or Less"
4755	"High School"	"Not At All Sat"
4756	"High School"	"More Or Less"
4757	"High School"	"Satisfied"
4758	"Bachelor"	"Not At All Sat"
4759	"Lt High School"	"Satisfied"
4760	"High School"	"Satisfied"
4761	"Bachelor"	"More Or Less"
4762	"High School"	"Satisfied"
4763	"Bachelor"	"Satisfied"
4764	"Graduate"	"More Or Less"
4765	"High School"	"More Or Less"
4766	"Lt High School"	"Satisfied"
4767	"Lt High School"	"Satisfied"
4768	"High School"	"Satisfied"
4769	"High School"	"More Or Less"
4770	"Lt High School"	"Not At All Sat"
4771	"High School"	"More Or Less"
4772	"High School"	"Satisfied"
4773	"High School"	"Not At All Sat"
4774	"High School"	"Satisfied"
4775	"High School"	"Not At All Sat"
4776	"High School"	"Not At All Sat"
4777	"High School"	"More Or Less"
4778	"High School"	"More Or Less"
4779	"Lt High School"	"Satisfied"
4780	"High School"	"Satisfied"
4781	"Bachelor"	"Not At All Sat"
4782	"Lt High School"	"Satisfied"
4783	"Lt High School"	"Satisfied"
4784	"Lt High School"	"Satisfied"
4785	"High School"	"More Or Less"
4786	"Lt High School"	"Not At All Sat"
4787	"Lt High School"	"More Or Less"
4788	"Junior College"	"Not At All Sat"
4789	"Lt High School"	"More Or Less"
4790	"High School"	"More Or Less"
4791	"Lt High School"	"Satisfied"
4792	"Bachelor"	"Not At All Sat"
4794	"High School"	"Satisfied"
4795	"Bachelor"	"Satisfied"
4796	"High School"	"Satisfied"
4797	"Bachelor"	"Satisfied"
4798	"Lt High School"	"Not At All Sat"
4799	"High School"	"Not At All Sat"
